experiment_id,timestamp,architecture,backbone,image_size,slices_per_plane,loss,learning_rate,epochs,fold,macro_auc,ACL_auc,MCL_auc,Medial_Meniscus_auc,Lateral_Meniscus_auc,Medial_OA_auc,Lateral_OA_auc,PF_OA_auc,Effusion_auc,Synovitis_auc,Bakers_auc,Contusion_auc,Fracture_auc,runtime_sec,notes,git_commit,date,training_labels,label_weighting,best_epoch,TTA,ensemble_method,OOF_macro_auc,runtime
exp_20260814_085014_f0,2026-08-14T08:50:14.918930,Multimodal_TriPlane_HMIL,resnet18,224.0,12,AsymmetricLoss,0.0003,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.7,Checksum change: d3d85e06e6 -> e84d83213c,,,,,,,,,
exp_20260814_085216_f0,2026-08-14T08:52:16.572102,Multimodal_TriPlane_HMIL,resnet18,224.0,12,AsymmetricLoss,0.0003,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.9,Checksum change: 57e5654536 -> e84d83213c,,,,,,,,,
exp_001_hmil_baseline,,Multimodal Tri-Plane HMIL,Custom 3-layer CNN Stem (128-d),,8,"Asymmetric Loss (gamma-=4.0, gamma+=0.5, clip=0.05)",0.0003,3,5-fold full OOF,,0.5589,0.5031,0.6795,0.5238,0.5201,0.325,0.5187,0.6941,0.5988,0.7235,0.6503,0.6275,,Authentic 5-fold baseline establishing true ground-truth OOF performance without data leakage,e1f3307,2026-08-15,Pseudo labels v2 + 58 Gold (CV Strategy B),"Gold=5.0, NLP=1.0, Masked=0.0","F0:2, F1:3, F2:2, F3:2, F4:3",None (OOF eval),Out-of-fold single-model validation,0.577,~4.25 hours (dual T4 GPUs)
exp_002_rank_normalization,,Multimodal Tri-Plane HMIL,Custom 3-layer CNN Stem (128-d),,8,"Asymmetric Loss (gamma-=4.0, gamma+=0.5, clip=0.05)",0.0003,3,5-fold full OOF,,0.5518,0.5313,0.6936,0.558,0.546,0.5249,0.5232,0.6981,0.6419,0.7297,0.6587,0.6567,,"Percentile rank transformation removes inter-fold calibration skew on rare targets, boosting Lateral OA from 0.3250 to 0.5249 and overall macro AUC by +0.0325",a8c3e35,2026-08-15,Pseudo labels v2 + 58 Gold (CV Strategy B),"Gold=5.0, NLP=1.0, Masked=0.0","F0:2, F1:3, F2:2, F3:2, F4:3",None (OOF eval),Fold-level Percentile Rank Normalization,0.6095,0.1s (post-processing evaluation)
